品牌,型号,评分分组,评分,评价内容,评论字数,时间,追评内容,页面标题,评价星级
尼康,Z30,好评,5,姑娘点名要买的牌子和型号，她很喜欢，拍的照片给我看了，是比手机拍的好多了,36,2026-02-11,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,"符合
外形外观：很好，木有问题！",16,2026-02-09,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,4,比较小巧的相机，入门级，卡需自购。京东物流现在真的差，5000多的东西就扔家门口了，没有电话没有短信也不发照片，晕,57,2026-02-07,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,4星
尼康,Z30,好评,5,"网上对比了好多款，只有尼康Z30深得我心，忍了
好久终于下单了，画质超棒，和手机拍照完全不一
样，已经验过了，包装完好，真品全新，配件齐
全，放心购",74,2026-02-05,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,微单里，这个是性价比比较高,13,2026-02-04,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,第一次买尼康相机，z30挺不错的，半画幅里面最好的几款相机，不错不错,34,2026-02-04,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,充电器和内存卡没有的吗？,12,2026-02-03,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,外甥女大学毕业后顺利就业，作为毕业礼物，特意挑个她一直心仪的相机，使用几次后，外甥女一直爱不释手，反馈挺好上手的，拍出效果也很棒！心满则意足.,71,2026-02-03,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,晨光熹微，指尖轻触屏幕，流畅如溪水潺潺流淌。电池续航稳健，仿佛无声的守护者，伴我度过每一个专注时刻。操作简洁明了，拍照清晰透亮，每一帧都如画卷般展开。这不仅是一台设备，更是生活里的温柔伙伴。,95,2026-02-01,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,轻巧机身蕴藏单反级画质，对焦迅猛，直出色彩惊艳。翻转触屏让创作更自由，视频性能强大，是旅拍与日常记录的理想伙伴。微单正以全能表现重塑摄影边界，入门与进阶皆宜。,79,2026-01-31,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,人生第一相机📷，希望它不让我失望,16,2026-01-31,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,快递很快质量很好，很小巧便捷,14,2026-01-30,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,相信品牌的力量吧，只是还可以,14,2026-01-27,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,买完十来天再打开京东，首页推荐就发过来了，降价四百多也是绝！京东自营体验感0️⃣好评是实事求是给包装、给快递员的，尼康京东自营这操作属实挺恶心人的！,74,2026-01-26,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,心动了好久的相机终于到手了，画质很清晰，比较喜欢用长焦镜头，拍特写虚化效果也很好，聚焦也不错，双十一价格比较便宜，包装也很好，注册还能延保两年，16 - 60的镜头出门携带很轻很方便,91,2026-01-26,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,三码合一，顺利注册延保，京东自营比别的平台稍贵一点但是省心。这是我第三次购买尼康相机了，上次还是2015年买的d7000，一晃快11年了，d7000仍然在用，就是有点重。眼馋微单的轻便利索，就来再买一个尼康，d7000继续在家里玩。几经比较后，个人认为z30是微单时代尼康给我这样的普通用户提供的产品力不错的相机，足够轻巧但手感不错，操作逻辑跟d7000很像，各方面素质都不错，两支Z卡口套头很喜欢，对我的使用场景来说绰绰有余！本次也对比了z50二代，对我来说轻巧便携是第一位的，取景器我也无感，画质,250,2026-01-25,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,"买给孩子用的，使用了一段时间才来评价。
康Z30是一款轻便的入门级APS-C画幅微单相机，主打Vlog和短视频创作，特别适合旅行、日常记录或作为备用机。它搭载2088万像素传感器，支持4K/30p视频，机身仅重405克，设计非常便携。
‌主要优点包括：‌
‌轻巧便携‌：重量轻，方便随身携带。
‌出色的视频性能‌：4K视频和翻转屏设计非常适合Vlog。
‌良好的操控性‌：触控翻转屏和直观的菜单，新手上手容易。
&zwn",210,2026-01-25,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,"产品包装：包装的很结实，不用担心会划花，
外形外观：Z30很小巧，2款镜头拿这很有感觉，
成像效果：在没内存的情况下，试了一下，很清晰，
便携性能：平时出门，待小头就好，",85,2026-01-25,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,到手十分轻便外观好看,10,2026-01-24,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,相机很好，包装严实，京东送货也很快,17,2026-01-20,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,买给孩子的礼物，孩子很喜欢。一直在京东自营的店选择物品，质量应该是没问题！,37,2026-01-20,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,"📸这款微单真的超乎预期！📷
手感扎实，操作顺滑，换镜头一气呵成🔧
屏幕触控灵敏，拍照体验流畅如丝✨
防抖效果惊艳，手持拍摄也稳得不行🎯
快递包装严实，送货飞快，服务贴心👏
整体体验满分，值得入手！👍👍",100,2026-01-20,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,差评,1,相机sd卡槽装了内存卡就拔不出来了,17,2026-01-18,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,1星
尼康,Z30,好评,5,第一次买相机，很好，,10,2026-01-18,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,符合预期，很好，非常喜欢。感觉拍照质感很好，比手机的照片质感好太多了。作为入门微单相机完全没问题，以后我也可以上尼康战歌了,61,2026-01-17,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,运输包装安全检查过了，没有瑕疵，用起来很流畅，靠谱，安全下车，很好上手，还要慢慢摸索拍照技能,46,2026-01-16,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,挺好的，慢慢学，争取拍出好照片！,16,2026-01-16,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,相机外形很精致，重量也很轻，手感很好,18,2026-01-14,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,手感很好，质量杠杠。,10,2026-01-14,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,z30相机  看上很久了  刚好遇到打折就入手了   相机很轻便  非常适合旅行外出适用   镜头买了双镜头的  50-250的镜头晃动会有咔咔生  不知道是不是和手机一个原因,88,2026-01-11,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,中评,3,相机拍照还可以，但是价格没有降下来，以为元旦会便宜，结果还涨价了，价保才保7天，保价时间太少了。送货时，包装太简陋了，我还以为谁拆过来，这个是评价低的原因。,78,2026-01-11,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,3星
尼康,Z30,好评,5,这款商品的质量真的很棒！外观时尚，内在实用，而且质量过硬，太喜欢了！,34,2026-01-11,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,"产品包装：包装很好
外形外观：外观简单
成像效果：不管是拍风景还是拍人像都很不错，定焦很快！
便携性能：方便携带，随走随拍",61,2026-01-10,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,非常小巧，做工也很精致，非常可爱，京东送货速度也很快，质量有保障，就是需要双手好好学习,43,2026-01-08,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,希望不会变成相机坑的第一笔收入。,16,2026-01-06,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,"新手小白入手发现挺简单的，很多功能不知道干啥的，开个a档调调光圈就拍了，解析力比我的iPhone好多了，视角大多了，毕竟cmos尺寸在那。
周末出去转转扫扫街，练习练习。",85,2026-01-06,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,我感觉拍得不错，比手机强点,13,2026-01-05,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,非常好👌🏻,5,2026-01-04,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,不多说，非常好，就是很喜欢,13,2026-01-03,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,看了好几个平台选京东自营，主要还是相信京东，但京东自营的价格比其他平台贵600多，还啥都不送，结果从下单到收到货不到10天就降价100多，而且保价是从下单开始算的，保价刚过了3天，感觉现在的电商平台都差不多，坑太多,107,2026-01-02,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,给女儿学摄影用的，非常轻巧的入门级微单，可翻转屏也很好用，对焦和快门相应速度很快。配套的18-140mm变焦镜头也够用了，出行时用很方便。 很值得。,74,2026-01-02,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,机身小巧但很压手，配16-50镜头端庄而不夸张。下一步使用后再评价。,34,2026-01-02,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,挺好的，，，，，，，，,11,2026-01-02,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,很好的相机，使我的快乐增加了。尼康z30到手确实感觉握持的手感很好。装上16-50的镜头整个相机甚至可以放进衣服口袋里。特别小巧。照片素质也不错。适合出去玩的时候拍两张。,85,2025-12-31,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,商品体验很好，物流速度很快，包装完好,18,2025-12-31,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,相机非常小巧精致，拍照效果好，重量合适，出门方便携带，很容易上手,32,2025-12-31,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,心动了好久的相机终于到手了，画质很清晰，比较喜欢用长焦镜头，拍特写虚化效果也很好，聚焦也不错，双十一价格比较便宜，包装也很好，注册还能延保两年，16-60的镜头出门携带很轻很方便，推荐大家购买！,97,2025-12-30,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,"外形外观：好
成像效果：不错
反应速度：快
便携性能：好
产品包装：没有破损，好",40,2025-12-28,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,放购物车好久，赶在双12有补贴下了单，价格划算，目前还在研究摸索着，可以自己找一些博主跟着学，某书上有博主专门讲Z30的用法。就是自己要有耐心，学多了，就会自己掌握规律。拍出来的照片确实不是手机相机能比的。,103,2025-12-28,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,"轻便小巧易携带，握持感舒适，翻转屏设
计方便自拍。这款微单相机是新手入门及日常拍摄的优质选择。",47,2025-12-28,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,差评,1,此用户未及时填写评价内容,12,2025-12-27,9月份买的5700，现在4600，短短几个月价格跌幅20%。,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,1星
尼康,Z30,好评,5,"成像效果：不错
便携性能：很方便携带
外形外观：好看。",27,2025-12-26,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,"产品包装：牛
外形外观：牛
成像效果：牛
反应速度：牛牛牛牛牛牛 牛",34,2025-12-26,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,非常喜欢，物超所值！,10,2025-12-25,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,尼康Z30真的太香了！性价比直接拉满的一款微单，新手闭眼冲完全不踩坑 机身超轻巧，裸机才350g左右，比一瓶矿泉水还轻，出门逛街、旅行揣包里毫无负担，长时间手持拍摄也不累手。2088万像素的画质超惊喜，色彩还原真实细腻，尼康的直出色彩真的绝，照片锐度高、细节满满，不用后期调色也能直接出片，不管拍风景还是人像都很有质感。,160,2025-12-25,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,4,"尼康的这款相机，首先它是非常轻的，它的造型非常的好看，然后它是非常便携的。
而它的性价比也是非常高的
对，我们这个价位能买到的最好的微单相机",70,2025-12-25,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,4星
尼康,Z30,好评,5,物流很快包装完好不错不错不错不错,16,2025-12-24,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,尼康Z30双套简直是摄影爱好者的福音!轻巧便携，机身设计符合人体工程学，握持感超棒。双镜头配置实用，无论是风景、人像还是特写都能轻松驾驭。画质出色，色彩还原精准，噪点控制优秀。操作简便，即便摄影小白也能快速上手。它让我记录生活变得如此美妙，爱了🥰!,124,2025-12-24,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,很小巧，比之前的单反用着舒服多了。,17,2025-12-24,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,还行还行，两个镜头带出去也不是很重,17,2025-12-23,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,正品，买来过年给家里人拍照，还在探索中。,20,2025-12-23,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,"可以呢，很轻，带着很便携，拍照用着很顺希
望拍照技术能有所长进，买的双套头。就是光圈
比较小，后面需要拍人像的话，在入手个打光定。",65,2025-12-22,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,相机收到了，按照网上的检查步骤检查了都没有问题，只是我第一次买相机，不太会玩，每次把1650调到35-50就会特别模糊没法对焦，只能重新开机它就会自动对焦得很好，然后我今天一直重复开关机😭我还得再研究研究，但是拍照片很好看，50250现在还没有试过，先研究明白1650再上手50250。,143,2025-12-21,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,刚买完就降价了好几百，几经周折退了差价，比较波折但是相机还是挺不错的，适合新手，拍人像和风景都挺不错，个人觉得挺喜欢的好评,61,2025-12-21,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,人生第一个相机📷对比了很久，查了很多资料，刷了很多短视频，问了很多人才买的，感觉还不错,43,2025-12-19,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,看了好久了，还是挺好用的，买尼康肯定没有错🤓😉😉😉😉😉物超所值❤️❤️❤️❤️❤️,41,2025-12-19,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,"可以呢，很轻，带着很便携，拍照用着很顺手，希等鹅
照技术能有所长进，买的双套头。就是光圈比较心”
后面需要拍人像的话，在入手个打光定。",67,2025-12-18,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,没错是正品，很小巧，,10,2025-12-18,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,目前最合适入手的入门微单相机之一，新手友好，有多种镜头搭配套机可选，我选的双镜头版，覆盖焦段全。机身加镜头重量也合适，出门携带负担不大。作为入门新手完全够我使用了。,82,2025-12-17,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,这次购物体验很棒商品是镜头包装十分严实能很好保护商品外观完好无损使用起来画质清晰成像效果出色很满意的一次购物,54,2025-12-17,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,中评,3,双十一买的反而价格更贵，也是服了，用的还行,21,2025-12-16,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,3星
尼康,Z30,好评,5,商品质量很好，与描述完全一致。京东物流速度超快，包装也很仔细。使用起来非常满意，家人都说买得值。会继续支持，好评推荐！！,60,2025-12-16,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,这款产品质量很好，值得购买，很满意的一次购物体验。,25,2025-12-16,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,只能说是十分之好用啊，6666,15,2025-12-16,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
尼康,Z30,好评,5,这款微单真的戳中摄影爱好者！轻量化机身握持超舒服，翻转屏拍vlog、自拍都方便，对焦又快又准，抓拍动态画面几乎无失误。画质上色彩还原自然，高感降噪表现惊喜，4K视频录制也很稳，日常创作和旅行拍摄都能hold住，性价比拉满！,111,2025-12-15,,【尼康Z30】尼康（Nikon）Z30 16-50mm f/3.5-6.3VR微单套机 自拍模式 入门级微单 可翻转显示屏【行情 报价 价格 评测】-京东,5星
