会员,级别,评价星级,评价内容,时间,点赞数,评论数,追评时间,追评内容,商品属性,页面网址,页面标题,sku,好评度,评价关键词,评论类型,该类型评论数
宁波小幸运啊,,5星,好好好,2026-03-05,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
J***蝠,,5星,"。
产品包装：里外包装的很高，
便携性能：银黑配色复古文艺，机身仅重355克，可轻松塞入口袋，是真正“愿意带出门”的相机",2026-03-05,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
OCEAN-1988,,5星,富士XM5小巧精致，直出色彩绝美，便携好用颜值担当！,2026-03-04,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
6m46q6z6zm49w0,,5星,官网买的肯定有保障，快递员也很细心，让我去取。然后配合拍视频。很不错过年库库拍了。拍的照片如下图,2026-03-02,8,4,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
潇***朵,,5星,特别特别特别特别特别好,2026-03-02,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
jd_2956l2fy0rorcf,,5星,终于拿下富士！之前还在纠结是富士还是佳能，但是太喜欢富士的滤镜了，特别适合我这种懒人，原图直出，轻松出片，很快乐了,2026-03-01,1,1,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
D***6,,5星,一直心心念念的，现在终于买到了,2026-02-27,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
第三人称NN,,5星,这个颜值非常高的相机，小小的，相对方便携带的，牌子也是不错的听起来是老牌子的，买了自己用，比较合适，等了好久才恰巧赶上有货了。基础要求刚好能够匹配了,2026-02-26,,1,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
C***K,,5星,"🌟这款相机操作超简单，上手很快👏
🔋电池续航给力，拍一整天都没问题⚡
📦快递包装严实，一点没磕碰✅
🚚送货速度飞快，配送员服务贴心😊
✨整体体验非常满意，强烈推荐👍",2026-02-24,,,,,黑色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
爱***明,,5星,作为新手摸索使用这款富士相机，换镜头便利操作无压力。色彩还原度高，能原图直出效果佳，成像真实自然，不愧是富士，值得入手。,2026-02-23,,,,,黑色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
3srjcgm1tri086,,5星,这个相机想了很久了，终于剁手，买了它的外观非常的好看，重量很轻，嗯，尺寸也非常的小。嗯，对焦的话比以前的机型要好了很多，非常的快，非常的准，跑掉的概率低了很多。以前用过x t三，最大的问题就是对焦现在有很多的改善，虽然也和预商家还是比不了，嗯，但是还是已经已经不错了,2026-02-21,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
u***g,,5星,貌美小巧的xm5小相机📷换个232.8头对焦更快，颜值更高，更轻便了！！,2026-02-17,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
l***6,,5星,嗯，相机手感一般，但是小巧玲珑，非常便携，适合随时出油，随时用拍照，效果不错。嗯，颜值超高但是镜头非常贵，自带的套机镜头日常使用应该足够，但是需要嗯更多的场景的话，需要重新购买，价格非常贵，性价比低,2026-02-17,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
iw6avthrjv6vr4,,5星,给小朋友要买一个相机，一直在考虑各个品牌，感觉富士还是最能赚笔格调比较好选那个卢曼基整体质感手感拍摄都还行，还没是还没试试看过各种功能，后期使用看看情况如何身体逼格还是很高。富士果然是富士,2026-02-17,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
星期五见面lyy,,5星,富士相机不用多说 值得入 非常nice,2026-02-15,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
颜***熙,,5星,富士相机在摄影领域有着鲜明的品牌特色，深受不少摄影爱好者的青睐。 在画质方面，富士相机表现相当出色。它依托70余年胶片研发经验，将经典胶片色彩科学融入数码摄影，独创的“胶片模拟”模式（如Velvia、Provia、Acros等）可直接输出具有胶片质感的JPEG照片，省去了后期调色环节，满足了部分影友对富士胶片影调和色彩的追求。其色彩还原准确、细腻度高、动态范围广，明暗过渡区域能呈现出丝绸般的渐变质感，高光不溢出、阴影不沉闷，像GFX100RF拥有惊人的1.2亿像素分辨率，,2026-02-14,,,,,黑色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
K***y,,1星,镜头有灰，客服认为不属于质量问题，拒绝退换,2026-02-12,1,1,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
j***j,,5星,挺好的,2026-02-12,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
m***o,,5星,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物！非常值得信赖的品牌，质量有保障，价格还亲民，相当满意！,2026-02-10,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
你喜欢的人超厉害,,5星,已经买上了，小媳妇特别喜欢 整体效果不错嗯 整体效果不错嗯，这个滤镜效果也比较满意。终于圆梦了，真是可惜了。我的5d四呀嗯,2026-02-08,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
伊***郁,,5星,完美适配X卡口镜头，原图直出，值得拥有～,2026-02-07,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
索隆是绿藻头,,5星,富士XM5是轻量便携的入门微单，355g机身+20种胶片模拟，直出氛围感拉满，6.2K/4K60P视频适配Vlog创作。但无机身防抖、无EVF，握持感一般，高感画质和视频散热有短板，更适合新手日常记录与轻创作。,2026-02-07,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
R***-,,5星,"富士（FUJIFILM）X-M5/ M5 微单相机 套机（XC35镜头）2610万像素 AI智能对焦 20种胶片模拟 银色
富士（FUJIFILM）X-M5/ M5 微单相机 套机（XC35镜头）2610万像素 AI智能对焦 20种胶片模拟 银色",2026-02-07,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
蓝莓p,,5星,这相机轻得像块饼干，拍视频稳得像焊在手上，电池续航更是让我怀疑它偷偷装了充电宝。操作简单到连我这种手残党都能秒上手，堪称“小白友好型”摄影神器！出门拍照再也不用担心扛着个“铁疙瘩”了，轻松拿捏大片感～,2026-02-04,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
光***光,,5星,非常不错的一款入门级相机，送朋友了，朋友表示非常满意，京东搞活动时候买的，价格还算不错，大平台，大品牌，有保障，京东yyds,2026-02-03,,2,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
jd_130673lxt,,5星,太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了太好了,2026-02-03,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
快乐瘦仔00,,5星,终于抢到了，使用很好，胶片模拟效果很方便,2026-02-03,,,,,黑色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
j***b,,5星,去迪士尼拍的，好看，需要配闪光灯，天气好的时候出片，其他场景还是会有限制,2026-02-03,1,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
玻***w,,5星,不错不错很喜欢推荐购买,2026-02-01,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
u_twiqky6368ci,,5星,此用户未填写评价内容,2026-02-01,,,购后22天追评,电池仓无法自动弹出，京东不承认质量有问题，不退不换👍👍👍,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
爱***菜,,5星,操作挺简单的 颜色很美,2026-01-31,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
j***y,,5星,相机很漂亮 使用方便  拍照效果很好 很喜欢,2026-01-31,1,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
j***i,,5星,相机的设计很贴心，即实用又提高了生活品质，操作界面简单直观，拍照很清晰，颜值也很高，长辈也能轻松使用，已经推荐给朋友们。很推荐,2026-01-30,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
校服De裙摆丶,,5星,"从xs20换到xm5
还是更喜欢复古的外观 虽说20带防抖取景器
但是xm5轻巧银色颜值极高 配上银色镜头 也是一枚被拍对象 现在又是原价 对于颜值控可以无脑冲了。",2026-01-29,5,2,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
清***酒,,5星,这款相机拿着轻便，对焦贼快，拍出来画质清楚、颜色也自然，暗光拍也不糊。操作简单好上手，日常拍、拍人拍风景都合适，性价比特别高。,2026-01-29,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
花岗岩地貌,,5星,助手们在此前已经有很久没去电影公司的经历与回忆在一,2026-01-29,,,,,黑色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
士大夫啦啦,,5星,"📸相机质感超赞，金属机身握感舒适✨
📷对焦迅速，拍照清晰度满分🌟
🔋续航给力，日常使用无压力💪
📦包装严实，物流超快🚚
👍整体体验非常满意，值得入手！🎉",2026-01-29,,,,,黑色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
jd_3kan0136ubjow5,,5星,相机外观良好，手感也好,2026-01-27,,,,,黑色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
KIARA67,,5星,"能揣兜里带出去
这是这部相机最大的优势
希望可以用它记录美好生活",2026-01-27,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
踏***影,,5星,搓手手万分期待的东西终于到手。内心那个炽热激动的劲 儿涌上来止都止不住！！！觉得东西不错我就会给好评宝贝 产品质量很好，是正品。和页面描述写的基本一致，卖家的 客服服务态度从头到尾都很好，快递发货速度超快,2026-01-26,,,,,黑色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
马小龙9000,,5星,抢了好几天才抢到，拍照很好看清晰 新手目前还在摸索当中 试拍了一下，不携明后滤镜色彩鲜艳一点，加了滤镜就是富士味道了，直出还是漂亮的，对我这种新手来说，是比较喜欢的,2026-01-26,,,,,黑色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
哈哈哈有点意思1,,5星,富贵人小巧。但实在美丽啊！,2026-01-24,1,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
轮滑小男孩-,,5星,好看好看好看好看好看好看,2026-01-22,,,,,黑色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
jd_514741356,,5星,富士xm5一直心仪很久。趁过年前买一个当新年礼物了。外观没话说，只是有点偏小，得加个手柄手感才好！对焦速度也很快，试了追焦拍飞鸟也还行！,2026-01-22,,,,,银色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
xingxingpeng,,5星,外观好看 拍照清晰 喜欢,2026-01-21,,,,,银色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
jd_梦舞华尔,,5星,只想买这款相机很久了，终于有货了,2026-01-21,,,,,黑色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
巧克力蘑菇汤,,5星,相机质感超棒，屏幕触控流畅，色彩还原真实✨拍摄清晰又稳定，携带轻便，日常出行必备📷功能丰富实用，我觉得值得入手👍👍,2026-01-20,1,,,,黑色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
科技小幸,,5星,富士X-M5搭配XC35镜头真是绝配！机身轻巧复古，带出门毫无压力。画质细腻色彩迷人，经典负片模式直出就很有味道。对焦迅速准确，搭配大光圈虚化效果惊艳。作为日常随身机，记录生活瞬间再合适不过，推荐,2026-01-19,1,,,,黑色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
山***童,,5星,颜值无敌，滤镜很全，爱不释手,2026-01-19,1,,,,黑色15-45套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
可***0,,5星,一直很喜欢富士的相机，但是囊中羞涩，不太想溢价购买，这次也是终于轮到我啦，哈哈哈^_^，希望想购买这款相机的朋友们都能如愿以偿。,2026-01-19,1,,,,黑色XC35套机,https://item.jd.com/100124090695.html,【富士X-M5】富士（FUJIFILM）X-M5/ M5 微单相机 套机（15-45mm镜头）2610万像素 AI智能对焦 20种胶片模拟 银色【行情 报价 价格 评测】-京东,100124090695,,,,
